wl,ref_1,GaAs_1,wl_bg,bg_1,ref_2,GaAs_2,bg_2
701.5,3.210404,-0.01655,701.5,-0.009642,3.200863,-0.017537,-0.018195
701.52,3.21468,-0.016879,701.52,-0.010958,3.209746,-0.0103,-0.014576
701.54,3.212378,-0.014576,701.54,-0.023459,3.20514,-0.015234,-0.004049
701.56,3.217641,-0.017537,701.56,-0.024775,3.211062,-0.010629,-0.009642
701.58,3.202508,-0.012274,701.58,-0.01655,3.205469,-0.013589,-0.013589
701.6,3.21468,-0.020498,701.6,-0.044513,3.208101,-0.010629,-0.014905
701.62,3.216325,-0.018853,701.62,-0.020498,3.210733,-0.01326,-0.016221
701.64,3.214351,-0.007339,701.64,-0.01326,3.207114,-0.013589,-0.010629
701.66,3.217312,-0.008655,701.66,-0.016879,3.212049,-0.007997,-0.022801
701.68,3.217641,-0.015892,701.68,-0.014247,3.210733,-0.012931,-0.010958
701.7,3.216654,-0.0103,701.7,-0.010629,3.210733,-0.009642,-0.016221
701.72,3.215338,-0.019511,701.72,-0.02313,3.20514,-0.012602,-0.016221
701.74,3.219286,-0.045829,701.74,-0.019511,3.201192,-0.008326,-0.015563
701.76,3.213036,-0.013918,701.76,-0.018524,3.210075,-0.017208,-0.010958
701.78,3.216983,-0.009971,701.78,-0.022472,3.203166,-0.014576,-0.02313
701.8,3.215009,-0.01655,701.8,-0.017537,3.207114,-0.007339,-0.002075
701.82,3.210733,-0.015234,701.82,-0.011945,3.205798,-0.007997,-0.017866
701.84,3.21468,-0.015563,701.84,-0.014905,3.192639,-0.02938,-0.03596
701.86,3.216983,-0.012274,701.86,-0.014905,3.197574,-0.008655,-0.015234
701.88,3.216983,-0.014905,701.88,-0.016221,3.205798,-0.009313,-0.0455
701.9,3.21172,-0.016879,701.9,-0.020827,3.204811,-0.013589,-0.014247
701.92,3.215338,-0.01326,701.92,-0.014576,3.20514,-0.006681,-0.012931
701.94,3.21468,-0.01326,701.94,-0.028722,3.208759,-0.006023,-0.019511
701.96,3.215338,-0.015892,701.96,-0.016879,3.208101,-0.014905,-0.024775
701.98,3.219944,-0.008326,701.98,-0.013918,3.197574,-0.012274,-0.011616
702,3.21468,-0.014576,702,-0.017208,3.206456,-0.005036,-0.01655
702.02,3.214351,-0.02313,702.02,-0.020827,3.20514,-0.011287,-0.015563
702.04,3.213694,-0.010629,702.04,-0.020169,3.209088,-0.012602,-0.015892
702.06,3.22126,-0.010958,702.06,-0.01655,3.203824,-0.013589,-0.024446
702.08,3.216983,-0.012602,702.08,-0.015892,3.1956,-0.011945,0.004175
702.1,3.21172,-0.016879,702.1,-0.022472,3.20185,-0.008655,-0.019182
702.12,3.209746,-0.014905,702.12,-0.012931,3.202179,-0.011287,-0.009642
702.14,3.212049,-0.014247,702.14,-0.01984,3.204153,-0.008655,-0.017537
702.16,3.21468,-0.018195,702.16,-0.016221,3.204811,-0.011945,-0.023459
702.18,3.216654,-0.023459,702.18,-0.009971,3.199547,-0.024117,-0.038263
702.2,3.215009,-0.016879,702.2,-0.010958,3.204482,-0.017866,-0.015892
702.22,3.213365,-0.020498,702.22,-0.020498,3.206785,-0.011616,-0.017208
702.24,3.212049,-0.027407,702.24,-0.013918,3.206456,-0.007997,-0.015234
702.26,3.214023,-0.014247,702.26,-0.01984,3.206127,-0.009971,-0.060304
702.28,3.213036,-0.018195,702.28,-0.032341,3.20185,-0.012931,-0.023459
702.3,3.21172,-0.017537,702.3,-0.024117,3.204482,0.007136,-0.013589
702.32,3.208101,-0.015563,702.32,-0.017208,3.207443,-0.011945,-0.025433
702.34,3.212707,-0.017866,702.34,-0.014905,3.209088,-0.011287,-0.023788
702.36,3.21468,-0.015563,702.36,-0.018524,3.209746,-0.012602,-0.015892
702.38,3.216983,-0.013589,702.38,-0.060304,3.209746,-0.008655,-0.012602
