wl1_12_ND64,H1_1_ND64,H1_2_ND64,wl2_12_ND8,H2_1_ND8,H2_2_ND8,wl3_1,H3_1,wl3_2,H3_2,wl4_12,H4_1,H4_2,wl5_12,H5_1,H5_2,wl6_1,H6_1,wl6_2,H6_2
654.6,-0.012602,-0.008655,484.6,0.172284,0.10254,431.6,-0.006352,432.6,0.012071,408.6,0.023914,0.046285,395.6,-0.000101,0.006149,387.6,-0.00043,387.6,-0.002733
654.62,-0.008326,-0.008326,484.62,0.133464,0.084775,431.62,-0.006023,432.62,-0.001088,408.62,0.021282,0.04793,395.62,-0.002404,0.003517,387.62,-0.001417,387.62,-0.00372
654.64,-0.007997,-0.007997,484.64,0.110436,0.055496,431.64,-0.007339,432.64,-0.00372,408.64,0.031152,0.046285,395.64,-0.004049,0.002531,387.64,-0.002075,387.64,-0.005694
654.66,-0.009642,-0.010629,484.66,0.082472,0.038389,431.66,-0.009642,432.66,-0.00701,408.66,0.035099,0.046943,395.66,-0.006023,0.001873,387.66,-0.001417,387.66,-0.004378
654.68,-0.007668,-0.007339,484.68,0.05747,0.017335,431.68,-0.007997,432.68,-0.005694,408.68,0.042008,0.054509,395.68,-0.004707,-0.001088,387.68,-0.001746,387.68,-0.004378
654.7,-0.00701,-0.012931,484.7,0.035099,0.00286,431.7,-0.007997,432.7,-0.004378,408.7,0.03806,0.046943,395.7,-0.005036,-0.002404,387.7,-0.001746,387.7,-0.00372
654.72,-0.000759,-0.0103,484.72,0.016348,-0.004378,431.72,-0.007997,432.72,-0.006023,408.72,0.052206,0.04464,395.72,-0.005365,-0.003391,387.72,-0.002733,387.72,-0.004049
654.74,0.017664,-0.0103,484.74,0.003517,-0.005036,431.74,-0.008326,432.74,-0.004378,408.74,0.044969,0.054509,395.74,-0.005694,-0.004049,387.74,-0.002733,387.74,-0.005036
654.76,0.036415,-0.008984,484.76,-0.002733,-0.004707,431.76,-0.008326,432.76,-0.003062,408.76,0.043324,0.052864,395.76,-0.004707,-0.00372,387.76,-0.002075,387.76,-0.003391
654.78,0.060431,-0.002075,484.78,-0.004707,-0.005036,431.78,-0.007668,432.78,-0.003391,408.78,0.056812,0.037073,395.78,-0.005365,-0.004049,387.78,-0.001088,387.78,-0.005365
654.8,0.083459,0.011084,484.8,-0.006023,-0.004707,431.8,-0.007339,432.8,-0.004378,408.8,0.038718,0.030823,395.8,-0.007339,-0.001746,387.8,-0.001417,387.8,-0.005694
654.82,0.106488,0.031152,484.82,-0.003062,-0.006023,431.82,-0.007997,432.82,-0.005036,408.82,0.042337,0.031152,395.82,-0.005365,-0.004378,387.82,-0.001417,387.82,-0.00372
654.84,0.125569,0.048917,484.84,-0.003391,-0.006023,431.84,-0.008655,432.84,-0.005694,408.84,0.038718,0.018651,395.84,-0.005365,-0.004049,387.84,-0.001088,387.84,-0.00372
654.86,0.127543,0.075235,484.86,-0.005365,-0.007339,431.86,-0.007668,432.86,-0.005365,408.86,0.037402,0.012071,395.86,-0.007339,-0.002075,387.86,-0.000101,387.86,-0.003062
654.88,0.136096,0.093329,484.88,-0.004707,-0.00701,431.88,-0.007668,432.88,-0.005365,408.88,0.033126,0.008123,395.88,-0.005036,-0.003391,387.88,-0.001417,387.88,-0.003391
654.9,0.133464,0.115699,484.9,-0.004049,-0.005694,431.9,-0.007997,432.9,-0.004378,408.9,0.019637,0.00286,395.9,-0.004378,-0.002733,387.9,-0.000101,387.9,-0.001417
654.92,0.131819,0.128201,484.92,-0.002733,-0.005365,431.92,-0.008326,432.92,-0.004378,408.92,0.016348,-0.002404,395.92,-0.004049,-0.00372,387.92,-0.00043,387.92,-0.004707
654.94,0.13478,0.127872,484.94,-0.003062,-0.006023,431.94,-0.006681,432.94,-0.005365,408.94,0.012071,-0.003062,395.94,-0.004049,-0.003062,387.94,-0.00043,387.94,-0.004049
654.96,0.129845,0.13478,484.96,-0.00372,-0.005365,431.96,-0.00701,432.96,-0.004049,408.96,0.003517,-0.003391,395.96,-0.005365,-0.002733,387.96,-0.001088,387.96,-0.003391
654.98,0.126885,0.122937,484.98,-0.00372,-0.005694,431.98,-0.005694,432.98,-0.004049,408.98,-0.00043,-0.005365,395.98,-0.004378,-0.003062,387.98,-0.002733,387.98,-0.002075
655,0.110436,0.123595,485,-0.004707,-0.004378,432,-0.006023,433,-0.003391,409,-0.002075,-0.006352,396,-0.006023,-0.003062,388,-0.004049,388,-0.00372
655.02,0.098263,0.128201,485.02,-0.004378,-0.003062,432.02,-0.006352,433.02,-0.004707,409.02,-0.00372,-0.004049,396.02,-0.005365,-0.003062,,,388.02,-0.003391
655.04,0.079512,0.126556,485.04,-0.005365,-0.005036,432.04,-0.00372,433.04,-0.00372,409.04,-0.003062,-0.004378,396.04,-0.001417,-0.00372,,,388.04,-0.003391
655.06,0.059773,0.118331,485.06,-0.004049,-0.004378,432.06,-0.006023,433.06,-0.003062,409.06,-0.006023,-0.00372,396.06,-0.004049,-0.004378,,,388.06,-0.003391
655.08,0.034442,0.100237,485.08,-0.004707,-0.00372,432.08,-0.004378,433.08,-0.004378,409.08,-0.005036,-0.004707,396.08,-0.004378,-0.004707,,,388.08,-0.004378
655.1,0.016677,0.081486,485.1,-0.00372,-0.004378,432.1,-0.005365,433.1,-0.004378,409.1,-0.006681,-0.00372,396.1,-0.005036,-0.00372,,,388.1,-0.002075
655.12,0.003846,0.059773,485.12,-0.003391,-0.004378,432.12,-0.006352,433.12,-0.003062,409.12,-0.006352,-0.004049,396.12,-0.005036,-0.003062,,,388.12,-0.001088
655.14,-0.00372,0.039047,485.14,-0.001088,-0.00372,432.14,-0.006681,433.14,-0.003062,409.14,-0.005694,-0.002075,396.14,-0.004378,-0.004049,,,388.14,-0.002404
655.16,-0.007668,0.020953,485.16,-0.003391,-0.004707,432.16,-0.00701,433.16,-0.00372,409.16,-0.008655,-0.004049,396.16,-0.004378,-0.00372,,,388.16,-0.002733
655.18,-0.007997,0.004504,485.18,-0.003062,-0.005036,432.18,-0.006681,433.18,-0.004378,409.18,-0.005694,-0.004049,396.18,-0.004378,-0.004049,,,388.18,-0.003062
655.2,-0.008326,-0.005365,485.2,-0.002075,-0.004049,432.2,-0.005365,433.2,-0.00372,409.2,-0.005694,-0.004378,396.2,-0.00372,-0.003391,,,388.2,-0.001417
655.22,-0.008326,-0.009313,485.22,-0.004378,-0.005036,432.22,-0.00701,433.22,-0.002404,409.22,-0.006352,-0.003391,396.22,-0.004707,-0.003062,,,388.22,-0.004049
655.24,-0.00701,-0.011945,485.24,-0.002404,-0.005365,432.24,-0.006023,433.24,-0.004049,409.24,-0.004707,-0.002075,396.24,-0.005036,-0.00372,,,388.24,-0.002733
655.26,-0.007339,-0.011945,485.26,-0.003062,-0.002733,432.26,-0.006352,433.26,-0.003391,409.26,-0.005365,-0.003391,396.26,-0.005036,-0.004378,,,388.26,-0.00372
655.28,-0.007997,-0.012931,485.28,-0.003062,-0.004707,432.28,-0.004378,433.28,-0.002075,409.28,-0.004378,-0.005036,396.28,-0.005694,-0.002733,,,388.28,-0.003062
655.3,-0.009642,-0.013918,485.3,-0.004049,-0.006681,432.3,-0.004049,433.3,-0.002404,409.3,-0.004707,-0.004378,396.3,-0.005365,-0.002733,,,388.3,-0.004049
655.32,-0.008326,-0.012602,485.32,-0.003062,-0.005365,432.32,-0.004707,433.32,-0.003062,409.32,-0.005036,-0.004707,396.32,-0.003391,-0.002733,,,388.32,-0.003391
655.34,-0.009313,-0.012274,485.34,-0.005036,-0.004707,432.34,-0.002733,433.34,-0.002075,409.34,-0.004378,-0.005365,396.34,-0.003062,-0.002404,,,388.34,-0.002733
655.36,-0.009313,-0.011287,485.36,-0.005036,-0.004707,432.36,0.003517,433.36,-0.002404,409.36,-0.005694,-0.005036,396.36,-0.002404,-0.002075,,,388.36,-0.003391
655.38,-0.008655,-0.011616,485.38,-0.004707,-0.005036,432.38,0.019637,433.38,-0.003062,409.38,-0.004049,-0.004707,396.38,-0.000759,-0.001746,,,388.38,-0.003391
655.4,-0.009642,-0.011616,485.4,-0.004707,-0.005694,432.4,0.049246,433.4,-0.004049,409.4,-0.004707,-0.005365,396.4,-0.000759,-0.004049,,,388.4,-0.004378
655.42,-0.008655,-0.012931,485.42,-0.004707,-0.004049,432.42,0.077209,433.42,-0.003391,409.42,-0.004707,-0.005036,396.42,-0.002075,-0.004378,,,388.42,-0.003391
655.44,-0.0103,-0.011945,485.44,-0.005694,-0.004378,432.44,0.106488,433.44,-0.003062,409.44,-0.003062,-0.002733,396.44,-0.001088,-0.00372,,,388.44,-0.004049
655.46,-0.008984,-0.012931,485.46,-0.005694,-0.006023,432.46,0.130503,433.46,-0.003062,409.46,-0.003391,-0.002404,396.46,-0.000759,-0.003391,,,388.46,-0.005694
655.48,-0.007997,-0.01326,485.48,-0.004707,-0.004707,432.48,0.19268,433.48,-0.004378,409.48,-0.00372,-0.003391,396.48,-0.001417,-0.00372,,,388.48,-0.005694
655.5,-0.007997,-0.013589,485.5,-0.004049,-0.006352,432.5,0.203537,433.5,-0.003062,409.5,-0.002733,-0.004378,396.5,-0.004378,-0.003391,,,388.5,-0.004049
655.52,-0.008984,-0.014247,485.52,-0.005694,-0.005694,432.52,0.241369,,,,,,,,,,,,
655.54,-0.008326,-0.01326,485.54,-0.004707,-0.006352,432.54,0.218012,,,,,,,,,,,,
655.56,-0.010958,-0.015234,485.56,-0.006023,-0.004707,432.56,0.236764,,,,,,,,,,,,
655.58,-0.01655,-0.012931,485.58,-0.006352,-0.00701,432.58,0.218999,,,,,,,,,,,,
655.6,-0.008655,-0.010629,485.6,-0.006023,-0.00701,432.6,0.269004,,,,,,,,,,,,
655.62,-0.007997,-0.010958,485.62,-0.006681,-0.005694,432.62,0.257489,,,,,,,,,,,,
655.64,-0.007668,-0.010629,485.64,-0.009971,-0.007339,432.64,0.250252,,,,,,,,,,,,
655.66,-0.008326,-0.009971,485.66,-0.006681,-0.008326,432.66,0.209787,,,,,,,,,,,,
655.68,-0.009313,-0.0103,485.68,-0.006023,-0.006681,432.68,0.213406,,,,,,,,,,,,
655.7,-0.006352,-0.010629,485.7,-0.005365,-0.00701,432.7,0.18972,,,,,,,,,,,,
655.72,-0.007997,-0.010629,485.72,-0.005365,-0.00701,432.72,0.140373,,,,,,,,,,,,
655.74,-0.008655,-0.010958,485.74,-0.005694,-0.00701,432.74,0.120634,,,,,,,,,,,,
655.76,-0.009313,-0.010629,485.76,-0.005365,-0.008984,432.76,0.081486,,,,,,,,,,,,
655.78,-0.011287,-0.010629,485.78,-0.004378,-0.00701,432.78,0.056812,,,,,,,,,,,,
655.8,-0.010629,-0.009313,485.8,-0.00372,-0.006352,432.8,0.029507,,,,,,,,,,,,
655.82,-0.007668,-0.0103,485.82,-0.004378,-0.00701,432.82,0.010097,,,,,,,,,,,,
655.84,-0.008326,-0.009971,485.84,-0.005365,-0.006681,432.84,0.000557,,,,,,,,,,,,
655.86,-0.007997,-0.011616,485.86,-0.004049,-0.008326,432.86,-0.005365,,,,,,,,,,,,
655.88,-0.008655,-0.009971,485.88,-0.006023,-0.007997,432.88,-0.006352,,,,,,,,,,,,
655.9,-0.008655,-0.010629,485.9,-0.005365,-0.009642,432.9,-0.004707,,,,,,,,,,,,
655.92,-0.008984,-0.008655,485.92,-0.005036,-0.007339,432.92,-0.005036,,,,,,,,,,,,
655.94,-0.008655,-0.009642,485.94,-0.006023,-0.008326,432.94,-0.006352,,,,,,,,,,,,
655.96,-0.008655,-0.0103,485.96,-0.00701,-0.006681,432.96,-0.006352,,,,,,,,,,,,
655.98,-0.008655,-0.010629,485.98,-0.005694,-0.007997,432.98,-0.005694,,,,,,,,,,,,
656,-0.007339,-0.010958,486,-0.005036,-0.008326,433,-0.006681,,,,,,,,,,,,
