wl,2ms_1,2ms_2,200ms_1,200ms_2,thr_1,thr_2
435.66,-0.000759,-0.007668,-0.008655,-0.007997,-0.190909,-0.27447
435.68,-0.005036,-0.006023,-0.007997,-0.007668,-0.003391,-0.159656
435.7,-0.006023,-0.007668,-0.008655,-0.007668,0.173271,-0.101756
435.72,-0.000101,-0.007339,-0.009313,-0.009313,-0.405732,0.261437
435.74,-0.006023,-0.006681,-0.008655,-0.008984,-0.126429,-0.242888
435.76,-0.001746,-0.003391,-0.009642,-0.007997,-0.06491,-0.192225
435.78,-0.001417,-0.004049,-0.008655,-0.007339,-0.091557,0.161098
435.8,-0.008326,-0.005694,-0.008655,-0.009313,0.2315,0.063721
435.82,-0.000101,-0.006023,-0.007339,-0.007997,0.379212,0.338089
435.84,-0.001417,-0.005694,-0.008326,-0.007339,-0.035631,-0.178737
435.86,-0.003062,-0.004049,-0.008326,-0.007668,0.01898,0.171297
435.88,-0.00043,-0.006681,-0.008655,-0.008655,-0.006352,-0.308026
435.9,-0.006023,-0.007339,-0.007997,-0.008326,-0.124455,0.063392
435.92,-0.001746,-0.007339,-0.008326,-0.008326,-0.099124,0.132477
435.94,-0.001088,-0.006023,-0.007339,-0.007997,-0.038592,-0.203081
435.96,-0.003391,-0.004707,-0.006681,-0.009971,-0.015234,0.362434
435.98,-0.00701,-0.010629,-0.008655,-0.009313,0.045298,0.141689
436,0.001544,-0.007668,-0.008984,-0.009313,0.104185,-0.163604
