wl_1,ref_1_ND64,wl_2,ref_2_ND64,wl_3,ref_3_ND64,Cu2O_1_77K_ND4,Cu2O_2_77K_ND1,Cu2O_3_77K_ND4,Cu2O_1_150K_ND4,Cu2O_1_296K_ND4,BG_23_ND64,BG_1_ND4
400.9,0.030165,562.25,0.688528,612.25,0.771041,-0.029709,0.43858,0.946842,-0.036289,-0.028393,-0.0465,-0.04879
400.92,0.015361,562.3,0.686681,612.3,0.771562,-0.030367,0.438833,0.946321,-0.023459,-0.031025,-0.045669,-0.045171
400.94,0.04793,562.35,0.687333,612.35,0.771636,-0.030038,0.441378,0.948277,-0.022801,-0.030038,-0.045682,-0.045829
400.96,0.015361,562.4,0.686023,612.4,0.772734,-0.02642,0.440412,0.948416,-0.026091,-0.028064,-0.045629,-0.051422
400.98,0.039047,562.45,0.686652,612.45,0.772497,-0.030038,0.439941,0.947914,-0.048461,-0.028722,-0.046053,-0.050435
401,0.022598,562.5,0.686296,612.5,0.77187,-0.029051,0.441707,0.947627,-0.025762,-0.028064,-0.046222,-0.04879
401.02,0.042337,562.55,0.687262,612.55,0.770681,-0.027078,0.440125,0.94525,-0.03267,-0.028064,-0.047237,-0.046158
401.04,0.04135,562.6,0.687396,612.6,0.773663,-0.030038,0.439912,0.95038,-0.021814,-0.030696,-0.046629,-0.047803
401.06,0.039047,562.65,0.688918,612.65,0.772702,-0.02642,0.441912,0.948703,-0.022143,-0.031683,-0.046129,-0.044184
401.08,0.042995,562.7,0.689602,612.7,0.773194,-0.031354,0.442697,0.948408,-0.025433,-0.027736,-0.045264,-0.053396
401.1,0.038389,562.75,0.691047,612.75,0.771257,-0.029051,0.441749,0.949806,-0.022801,-0.028393,-0.046056,-0.049448
401.12,0.045956,562.8,0.689399,612.8,0.773128,-0.025104,0.441883,0.949464,-0.02313,-0.037605,-0.046364,-0.046816
401.14,0.040692,562.85,0.687765,612.85,0.77147,-0.028393,0.441528,0.952703,-0.024446,-0.028064,-0.046608,-0.047145
401.16,0.040692,562.9,0.688573,612.9,0.771933,-0.031683,0.439549,0.950624,-0.024117,-0.028064,-0.047193,-0.049119
401.18,0.039047,562.95,0.690594,612.95,0.772062,-0.028393,0.440244,0.951061,-0.021156,-0.029709,-0.045211,-0.049119
401.2,0.042666,563,0.690218,613,0.772315,-0.027407,0.441749,0.952577,-0.022143,-0.026091,-0.04575,-0.049777
401.22,0.040692,563.05,0.689868,613.05,0.773005,-0.028393,0.442189,0.950985,-0.024117,-0.028064,-0.046582,-0.050435
401.24,0.040034,563.1,0.690268,613.1,0.773702,-0.029709,0.439423,0.950851,-0.050106,-0.031683,-0.045982,-0.045829
401.26,0.043982,563.15,0.689526,613.15,0.773131,-0.030038,0.440286,0.954327,-0.022472,-0.038592,-0.044274,-0.049119
401.28,0.039705,563.2,0.689397,613.2,0.773915,-0.028722,0.440938,0.953564,-0.036618,-0.028722,-0.044466,-0.047474
401.3,0.040034,563.25,0.688252,613.25,0.774344,-0.028064,0.443307,0.954322,-0.022143,-0.02642,-0.043634,-0.061291
