TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	21/12/20
TIME	15:42:51
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	550.0000
LASTX	350.0000
NPOINTS	1001
FIRSTY	0.05395
MAXY	0.27450
MINY	0.05265
XYDATA
550.0000	0.05395
549.8000	0.05385
549.6000	0.05364
549.4000	0.05356
549.2000	0.05354
549.0000	0.05358
548.8000	0.05355
548.6000	0.05367
548.4000	0.05379
548.2000	0.05332
548.0000	0.05313
547.8000	0.05316
547.6000	0.0532
547.4000	0.05337
547.2000	0.05355
547.0000	0.05348
546.8000	0.05328
546.6000	0.05343
546.4000	0.05327
546.2000	0.05292
546.0000	0.05301
545.8000	0.05324
545.6000	0.05328
545.4000	0.05318
545.2000	0.0532
545.0000	0.05315
544.8000	0.0531
544.6000	0.05305
544.4000	0.05326
544.2000	0.0533
544.0000	0.05302
543.8000	0.05307
543.6000	0.05288
543.4000	0.05279
543.2000	0.05301
543.0000	0.053
542.8000	0.05295
542.6000	0.0529
542.4000	0.05285
542.2000	0.05288
542.0000	0.053
541.8000	0.05301
541.6000	0.05298
541.4000	0.05288
541.2000	0.05289
541.0000	0.05294
540.8000	0.0529
540.6000	0.05305
540.4000	0.05296
540.2000	0.05296
540.0000	0.05311
539.8000	0.05305
539.6000	0.05309
539.4000	0.05306
539.2000	0.05287
539.0000	0.05265
538.8000	0.05302
538.6000	0.05328
538.4000	0.053
538.2000	0.05303
538.0000	0.05325
537.8000	0.05303
537.6000	0.05307
537.4000	0.05335
537.2000	0.0532
537.0000	0.05326
536.8000	0.05325
536.6000	0.05361
536.4000	0.05378
536.2000	0.05338
536.0000	0.0533
535.8000	0.05357
535.6000	0.05373
535.4000	0.05381
535.2000	0.05391
535.0000	0.0538
534.8000	0.05405
534.6000	0.05417
534.4000	0.05416
534.2000	0.0543
534.0000	0.05428
533.8000	0.05445
533.6000	0.05478
533.4000	0.05484
533.2000	0.05489
533.0000	0.05497
532.8000	0.05511
532.6000	0.05543
532.4000	0.05575
532.2000	0.05585
532.0000	0.05581
531.8000	0.05595
531.6000	0.05604
531.4000	0.05623
531.2000	0.0564
531.0000	0.05654
530.8000	0.0568
530.6000	0.05696
530.4000	0.05752
530.2000	0.05804
530.0000	0.05805
529.8000	0.05821
529.6000	0.0584
529.4000	0.05872
529.2000	0.05899
529.0000	0.05916
528.8000	0.05933
528.6000	0.05985
528.4000	0.06041
528.2000	0.06071
528.0000	0.0608
527.8000	0.06124
527.6000	0.06175
527.4000	0.06206
527.2000	0.06261
527.0000	0.063
526.8000	0.06325
526.6000	0.06373
526.4000	0.06441
526.2000	0.06504
526.0000	0.06549
525.8000	0.0658
525.6000	0.06633
525.4000	0.06696
525.2000	0.06741
525.0000	0.06781
524.8000	0.0685
524.6000	0.06911
524.4000	0.06966
524.2000	0.07043
524.0000	0.07112
523.8000	0.07166
523.6000	0.07232
523.4000	0.07322
523.2000	0.07366
523.0000	0.07418
522.8000	0.07505
522.6000	0.07572
522.4000	0.07631
522.2000	0.07695
522.0000	0.07811
521.8000	0.07901
521.6000	0.07963
521.4000	0.08052
521.2000	0.08122
521.0000	0.08173
520.8000	0.08247
520.6000	0.08366
520.4000	0.08446
520.2000	0.08515
520.0000	0.08534
519.8000	0.08623
519.6000	0.0871
519.4000	0.08796
519.2000	0.08874
519.0000	0.08964
518.8000	0.09048
518.6000	0.0913
518.4000	0.09205
518.2000	0.09293
518.0000	0.09399
517.8000	0.09476
517.6000	0.09543
517.4000	0.09622
517.2000	0.0971
517.0000	0.09784
516.8000	0.09872
516.6000	0.09976
516.4000	0.10043
516.2000	0.10114
516.0000	0.10225
515.8000	0.10276
515.6000	0.10333
515.4000	0.10433
515.2000	0.10481
515.0000	0.1055
514.8000	0.10637
514.6000	0.10665
514.4000	0.10723
514.2000	0.10813
514.0000	0.10874
513.8000	0.10939
513.6000	0.10972
513.4000	0.11004
513.2000	0.11054
513.0000	0.11111
512.8000	0.11154
512.6000	0.11185
