TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	21/12/20
TIME	15:34:43
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	550.0000
LASTX	350.0000
NPOINTS	1001
FIRSTY	0.00063
MAXY	0.26972
MINY	0.00051
XYDATA
490.2000	0.03893
490.0000	0.03914
489.8000	0.03958
489.6000	0.0398
489.4000	0.03976
489.2000	0.04016
489.0000	0.04059
488.8000	0.04084
488.6000	0.04098
488.4000	0.04113
488.2000	0.04167
488.0000	0.04187
487.8000	0.04216
487.6000	0.04231
487.4000	0.0423
487.2000	0.04294
487.0000	0.04315
486.8000	0.04323
486.6000	0.04362
486.4000	0.0437
486.2000	0.04389
486.0000	0.04451
485.8000	0.04458
485.6000	0.04447
485.4000	0.04502
485.2000	0.04551
485.0000	0.04569
484.8000	0.0457
484.6000	0.04583
484.4000	0.04621
484.2000	0.04657
484.0000	0.04678
483.8000	0.04648
483.6000	0.04693
483.4000	0.0474
483.2000	0.04727
483.0000	0.04762
482.8000	0.04784
482.6000	0.04802
482.4000	0.0481
482.2000	0.04824
482.0000	0.04849
481.8000	0.04863
481.6000	0.04877
481.4000	0.04892
481.2000	0.04902
481.0000	0.04917
480.8000	0.04933
480.6000	0.04946
480.4000	0.04972
480.2000	0.04993
480.0000	0.04981
479.8000	0.05016
479.6000	0.05037
479.4000	0.05014
479.2000	0.0503
479.0000	0.05033
478.8000	0.05019
478.6000	0.05033
478.4000	0.05061
478.2000	0.05087
478.0000	0.05085
477.8000	0.05105
477.6000	0.0512
477.4000	0.05098
477.2000	0.05121
477.0000	0.05129
476.8000	0.05126
476.6000	0.05123
476.4000	0.05133
476.2000	0.05147
476.0000	0.05158
475.8000	0.05157
475.6000	0.05145
475.4000	0.05151
475.2000	0.05132
475.0000	0.05141
474.8000	0.05142
474.6000	0.05141
474.4000	0.05153
474.2000	0.05144
474.0000	0.05143
473.8000	0.05145
473.6000	0.05138
473.4000	0.05152
473.2000	0.05166
473.0000	0.05152
472.8000	0.05154
472.6000	0.05138
472.4000	0.05136
472.2000	0.0515
472.0000	0.05136
