Trace#,Angle,Velocity,Velocity(abs),Duration,Run length,Run length(abs),Avg Intensity,Dx,Dy,Vx,Vy
1,190.255,1010.461,1010.461,0.9,973.149,973.149,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
2,187.003,918.182,918.182,2,1925.184,1925.184,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
3,195.095,993.092,993.092,2,2329.379,2329.379,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
4,154.92,893.727,893.727,2,1720.432,1720.432,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
5,158.976,1004.556,1004.556,2,2079.193,2079.193,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
6,83.122,-1108.051,1108.051,25.2,-17946.814,17946.814,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
7,156.979,686.016,686.016,8,5440.987,5440.987,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
8,94.23,899.468,899.468,8,7363.556,7363.556,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
9,161.602,-905.933,905.933,8,-7335.678,7335.678,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
10,198.628,769.081,769.081,8,6172.051,6172.051,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,993.092,,,,,,,,
,,,686.016,,,,,,,,
,,,899.468,,,,,,,,
,,,905.933,,,,,,,,
,,,769.081,,,,,,,,
,,ave,850.718,,,,,,,,
,,std,109.0751697,,,,,,,,
