t_ref,V_ref,t_unf,V_unf
-303.671875,0.152908228,-75.91796875,1.183898146
-303.59375,0.153925653,-75.8984375,1.191020116
-303.515625,0.154943077,-75.87890625,1.186950419
-303.4375,0.15562136,-75.859375,1.18966355
-303.359375,0.156638784,-75.83984375,1.185593853
-303.28125,0.157656208,-75.8203125,1.188985267
-303.203125,0.158334491,-75.80078125,1.187967843
-303.125,0.159351915,-75.78125,1.179150166
-303.046875,0.16036934,-75.76171875,1.183219863
-302.96875,0.161386764,-75.7421875,1.18966355
-302.890625,0.162065047,-75.72265625,1.19678552
-302.8125,0.163082471,-75.703125,1.193054964
-302.734375,0.163760754,-75.68359375,1.182880722
-302.65625,0.164778178,-75.6640625,1.190680974
-302.578125,0.165456461,-75.64453125,1.184237287
-302.5,0.166134744,-75.625,1.193054964
-302.421875,0.167152168,-75.60546875,1.191359257
-302.34375,0.168169592,-75.5859375,1.18016759
-302.265625,0.168847875,-75.56640625,1.189324409
-302.1875,0.169865299,-75.546875,1.186272136
-302.109375,0.170543582,-75.52734375,1.188646126
-302.03125,0.171561006,-75.5078125,1.187967843
-301.953125,0.172578431,-75.48828125,1.185254712
-301.875,0.173595855,-75.46875,1.187628702
-301.796875,0.174274138,-75.44921875,1.192715823
-301.71875,0.174952421,-75.4296875,1.191359257
-301.640625,0.175969845,-75.41015625,1.191020116
-301.5625,0.176308986,-75.390625,1.184237287
-301.484375,0.177326411,-75.37109375,1.191359257
-301.40625,0.178682976,-75.3515625,1.185254712
-301.328125,0.179700401,-75.33203125,1.190341833
-301.25,0.180378683,-75.3125,1.186611277
-301.171875,0.181056966,-75.29296875,1.178471883
-301.09375,0.182413532,-75.2734375,1.183219863
-301.015625,0.182752673,-75.25390625,1.186272136
-300.9375,0.183770098,-75.234375,1.186272136
-300.859375,0.18444838,-75.21484375,1.18728956
-300.78125,0.185126663,-75.1953125,1.193054964
-300.703125,0.186144088,-75.17578125,1.187967843
-300.625,0.187161512,-75.15625,1.184576429
-300.546875,0.187500653,-75.13671875,1.180506732
-300.46875,0.188857219,-75.1171875,1.18966355
-300.390625,0.189535502,-75.09765625,1.18966355
-300.3125,0.190552926,-75.078125,1.190680974
-300.234375,0.19157035,-75.05859375,1.18728956
-300.15625,0.192248633,-75.0390625,1.18728956
-300.078125,0.193266057,-75.01953125,1.190002692
-300,0.193605199,-75,1.186950419
-299.921875,0.194283482,-74.98046875,1.180506732
-299.84375,0.195300906,-74.9609375,1.185593853
-299.765625,0.19631833,-74.94140625,1.190680974
-299.6875,0.197335754,-74.921875,1.183898146
-299.609375,0.198014037,-74.90234375,1.185254712
-299.53125,0.19869232,-74.8828125,1.190341833
-299.453125,0.199370603,-74.86328125,1.188306984
-299.375,0.200388027,-74.84375,1.186272136
-299.296875,0.201405451,-74.82421875,1.183559005
-299.21875,0.202083734,-74.8046875,1.184237287
-299.140625,0.202762017,-74.78515625,1.190680974
-299.0625,0.203101159,-74.765625,1.191020116
-298.984375,0.204118583,-74.74609375,1.186611277
-298.90625,0.204796866,-74.7265625,1.184237287
-298.828125,0.20581429,-74.70703125,1.184237287
-298.75,0.206492573,-74.6875,1.185593853
-298.671875,0.207509997,-74.66796875,1.183559005
-298.59375,0.208527421,-74.6484375,1.186950419
-298.515625,0.209205704,-74.62890625,1.184237287
-298.4375,0.209883987,-74.609375,1.190341833
-298.359375,0.21056227,-74.58984375,1.193054964
-298.28125,0.211579694,-74.5703125,1.185932995
-298.203125,0.211918835,-74.55078125,1.188306984
-298.125,0.212597118,-74.53125,1.188306984
-298.046875,0.213275401,-74.51171875,1.185593853
-297.96875,0.214292825,-74.4921875,1.184576429
-297.890625,0.214631967,-74.47265625,1.194750671
-297.8125,0.215988533,-74.453125,1.18728956
-297.734375,0.216327674,-74.43359375,1.180506732
-297.65625,0.217345098,-74.4140625,1.193394106
-297.578125,0.218023381,-74.39453125,1.193733247
-297.5,0.218701664,-74.375,1.192376681
-297.421875,0.219040805,-74.35546875,1.188646126
-297.34375,0.22005823,-74.3359375,1.183219863
-297.265625,0.221075654,-74.31640625,1.18966355
-297.1875,0.221753937,-74.296875,1.18728956
-297.109375,0.222432219,-74.27734375,1.184237287
-297.03125,0.223110502,-74.2578125,1.18966355
-296.953125,0.223788785,-74.23828125,1.195768096
-296.875,0.224806209,-74.21875,1.191698399
-296.796875,0.225484492,-74.19921875,1.190002692
-296.71875,0.226162775,-74.1796875,1.19203754
-296.640625,0.227180199,-74.16015625,1.187628702
-296.5625,0.227180199,-74.140625,1.188306984
-296.484375,0.228197624,-74.12109375,1.191359257
-296.40625,0.228875906,-74.1015625,1.188646126
-296.328125,0.229554189,-74.08203125,1.191020116
-296.25,0.230232472,-74.0625,1.186950419
-296.171875,0.230910755,-74.04296875,1.183559005
-296.09375,0.231589038,-74.0234375,1.186611277
-296.015625,0.232606462,-74.00390625,1.193394106
-295.9375,0.233623886,-73.984375,1.186950419
-295.859375,0.233963028,-73.96484375,1.184237287
-295.78125,0.234641311,-73.9453125,1.190680974
-295.703125,0.235658735,-73.92578125,1.186272136
-295.625,0.236337018,-73.90625,1.188306984
-295.546875,0.237015301,-73.88671875,1.184237287
-295.46875,0.237693583,-73.8671875,1.193733247
-295.390625,0.238711008,-73.84765625,1.18966355
-295.3125,0.239389291,-73.828125,1.187628702
-295.234375,0.240067573,-73.80859375,1.183559005
-295.15625,0.241084998,-73.7890625,1.178132742
-295.078125,0.241424139,-73.76953125,1.19203754
-295,0.242102422,-73.75,1.19203754
-294.921875,0.242441563,-73.73046875,1.182880722
-294.84375,0.242780705,-73.7109375,1.190002692
-294.765625,0.243798129,-73.69140625,1.187628702
-294.6875,0.244815553,-73.671875,1.185932995
