Trace#,Angle,Velocity,Velocity(abs),Duration,Run length,Run length(abs),Avg Intensity,Dx,Dy,Vx,Vy
1,89.705,-72.897,72.897,20,-1599.979,1599.979,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
2,184.024,56.408,56.408,20,1117.239,1117.239,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
3,215.233,47.661,47.661,20,1376.353,1376.353,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
4,59.658,62.122,62.122,20,1070.982,1070.982,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
5,205.069,-90.082,90.082,20,-1720.45,1720.45,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
,,,,,,,,,,,
,,ave,65.834,,,,,,,,
,,std,14.63378162,,,,,,,,
