TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	21/12/20
TIME	15:25:33
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	550.0000
LASTX	350.0000
NPOINTS	1001
FIRSTY	-0.00013
MAXY	0.00033
MINY	-0.00059
XYDATA
496.0000	-0.00044
495.8000	-0.00022
495.6000	-4.26918E-011
495.4000	-1E-005
495.2000	-0.00036
495.0000	-0.00039
494.8000	-0.00011
494.6000	8E-005
494.4000	3E-005
494.2000	-0.00043
494.0000	-0.00043
493.8000	-0.00016
493.6000	-0.00014
493.4000	-0.0002
493.2000	-0.00015
493.0000	-0.00014
492.8000	-0.00029
492.6000	-0.00033
492.4000	-0.00018
492.2000	-2.99999E-005
492.0000	-0.00013
491.8000	2.46614E-011
491.6000	-0.0001
491.4000	-0.00027
491.2000	-0.00033
491.0000	3.99999E-005
490.8000	0.00012
490.6000	-0.00027
490.4000	-0.00022
490.2000	-0.00021
490.0000	-0.00018
489.8000	-0.0001
489.6000	-9.00001E-005
489.4000	-0.00036
489.2000	-0.00035
489.0000	8.3223E-011
488.8000	9.99999E-006
488.6000	-0.00029
488.4000	-0.0003
488.2000	-4.00001E-005
488.0000	-0.00011
487.8000	-9.54419E-011
487.6000	-0.00012
487.4000	-0.00043
487.2000	-0.00024
487.0000	-6.99999E-005
486.8000	-9.00001E-005
486.6000	-0.00013
486.4000	-0.00011
486.2000	-0.00011
486.0000	-4.00001E-005
485.8000	-0.00022
485.6000	-0.00026
485.4000	-8E-005
485.2000	-0.00018
485.0000	-4.99999E-005
484.8000	-0.00011
484.6000	-0.00039
484.4000	-0.00025
484.2000	2.00001E-005
484.0000	-0.00012
483.8000	-0.00043
483.6000	-0.00018
483.4000	0.00012
483.2000	-4E-005
483.0000	-0.00027
482.8000	-0.00023
482.6000	9.9999E-006
482.4000	-9E-005
482.2000	-2E-005
482.0000	-8E-005
481.8000	-0.00034
481.6000	-0.0003
481.4000	-6E-005
481.2000	-4E-005
481.0000	-9E-005
480.8000	3E-005
480.6000	-8E-005
480.4000	-6.76513E-011
480.2000	-9.9999E-006
480.0000	-0.00026
479.8000	-9.00001E-005
479.6000	-0.00014
479.4000	-0.00038
479.2000	-0.00029
479.0000	-0.00024
478.8000	-0.0001
478.6000	-0.00011
478.4000	-0.00012
478.2000	-6E-005
478.0000	-0.00022
477.8000	-4.00001E-005
477.6000	-5.00001E-005
477.4000	-0.00016
477.2000	-0.00015
477.0000	-0.00016
476.8000	-0.00017
476.6000	-0.00022
476.4000	4.00001E-005
476.2000	0.00014
476.0000	-2.98023E-013
475.8000	-8.08388E-011
475.6000	-3.00001E-005
475.4000	-0.00027
475.2000	-0.00021
475.0000	-5.00001E-005
474.8000	-0.00031
474.6000	-0.00028
474.4000	3.99999E-005
474.2000	-5E-005
474.0000	-5E-005
473.8000	-0.00017
473.6000	-0.00028
473.4000	-0.00026
473.2000	-7.99999E-005
473.0000	-8E-005
472.8000	-0.0003
472.6000	-0.00017
472.4000	-0.00015
472.2000	-9E-005
472.0000	-2E-005
471.8000	-9.99999E-006
471.6000	-2.99999E-005
471.4000	-9.99997E-006
471.2000	-2.99999E-005
471.0000	-0.00017
470.8000	-0.00027
470.6000	-0.00012
470.4000	-0.0001
470.2000	-2E-005
470.0000	-0.00015
469.8000	-0.00024
469.6000	-0.00022
469.4000	-0.00019
469.2000	-0.00015
469.0000	-0.00022
468.8000	-0.0002
468.6000	4.99999E-005
468.4000	0.00019
468.2000	2.00001E-005
468.0000	-7.99999E-005
467.8000	-0.00034
467.6000	-0.00013
467.4000	9.99991E-006
467.2000	-0.00034
467.0000	-8E-005
466.8000	0.00016
466.6000	-4.99999E-005
466.4000	-0.00013
466.2000	-0.0001
466.0000	-7E-005
465.8000	-0.00025
465.6000	-0.00023
465.4000	-0.00028
465.2000	-0.00031
465.0000	-7.00001E-005
464.8000	0.00016
464.6000	0.00012
464.4000	-5.00001E-005
464.2000	-0.00016
464.0000	-0.00024
463.8000	-0.00012
463.6000	-0.00038
463.4000	-0.00021
463.2000	-0.00012
463.0000	-0.0003
462.8000	-0.0002
462.6000	-0.00032
462.4000	-0.00015
462.2000	-0.00013
462.0000	-0.00028
461.8000	2.00001E-005
461.6000	7.99999E-005
461.4000	-0.00031
461.2000	-0.00053
461.0000	-0.00042
460.8000	-0.00019
460.6000	-0.0002
460.4000	-4.99999E-005
460.2000	-8.00002E-005
460.0000	-0.00041
459.8000	-0.00035
459.6000	-8.00002E-005
459.4000	-2.00002E-005
459.2000	-0.00024
459.0000	-0.00023
458.8000	-0.00025
458.6000	-0.0005
458.4000	-0.0003
458.2000	-0.0001
458.0000	-0.00022
457.8000	-0.00021
457.6000	-0.00013
457.4000	-0.00012
457.2000	-0.00027
457.0000	-0.00048
456.8000	-0.00036
456.6000	-7.00002E-005
456.4000	-0.00011
456.2000	-0.00031
456.0000	-0.00014
455.8000	-0.00023
455.6000	-0.00029
455.4000	-6.00002E-005
455.2000	-5.99999E-005
455.0000	-0.0002
454.8000	-0.00019
454.6000	-0.0001
454.4000	-0.00021
454.2000	-0.00022
454.0000	-0.00014
453.8000	-6.00001E-005
453.6000	-0.00012
453.4000	-0.00022
453.2000	-0.00022
453.0000	-8E-005
452.8000	-7.00001E-005
452.6000	-0.0002
452.4000	-0.0003
452.2000	-0.00034
452.0000	-2E-005
451.8000	-2.00001E-005
451.6000	-0.00038
451.4000	-6E-005
451.2000	0.00015
451.0000	-0.00016
450.8000	-4.99999E-005
450.6000	-0.0001
450.4000	-0.00014
450.2000	0.0001
450.0000	-0.00018
449.8000	-0.00041
449.6000	-0.00042
449.4000	-0.00032
449.2000	-0.00021
449.0000	1.00002E-005
448.8000	-4.00002E-005
448.6000	-0.00019
448.4000	-0.00011
448.2000	-0.00013
448.0000	-0.00025
447.8000	-0.00035
447.6000	-9.99998E-005
447.4000	-0.00043
447.2000	-0.0005
447.0000	0.00015
446.8000	0.00023
446.6000	-0.00018
446.4000	-0.0001
446.2000	2E-005
446.0000	-0.00027
445.8000	-0.00027
445.6000	-4.00001E-005
445.4000	-4.99998E-005
445.2000	-0.0002
445.0000	0.0001
444.8000	7E-005
444.6000	4.05312E-011
444.4000	-0.00019
444.2000	-0.00019
444.0000	-0.00014
443.8000	-0.00038
443.6000	-0.0001
443.4000	-0.00029
443.2000	-0.00046
443.0000	-0.00022
442.8000	-0.00018
442.6000	-0.00019
442.4000	-0.00015
442.2000	-0.00011
442.0000	0.00019
441.8000	0.00017
441.6000	-0.00031
441.4000	-0.00028
441.2000	-0.00029
441.0000	-0.00037
440.8000	-0.00031
440.6000	-5.99998E-005
440.4000	-9.99988E-006
440.2000	-0.00025
440.0000	-3.99998E-005
439.8000	-0.00021
439.6000	-0.00041
