#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A7FC83
#Date Time: 2021-12-20 15:38:55.323
#Sample rate: 51.2Hz
#Samples: 2557
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-78.125,0.5076501539464827
-78.10546875,1.816396894796114
-78.0859375,1.810292349231125
-78.06640625,1.806561793608076
-78.046875,1.805883510767522
-78.02734375,1.807918359289185
-78.0078125,1.816396894796114
-77.98828125,1.809953207810848
-77.96875,1.805544369347245
-77.94921875,1.80486608650669
-77.9296875,1.806561793608076
-77.91015625,1.813005480593343
-77.890625,1.807918359289185
-77.87109375,1.80724007644863
-77.8515625,1.807579217868908
-77.83203125,1.808596642129739
-77.8125,1.81571861195556
-77.79296875,1.810631490651402
-77.7734375,1.806222652187799
-77.75390625,1.803848662245859
-77.734375,1.805883510767522
-77.71484375,1.815040329115006
-77.6953125,1.811648914912234
-77.67578125,1.806561793608076
-77.65625,1.803509520825582
-77.63671875,1.803848662245859
-77.6171875,1.811988056332511
-77.59765625,1.810292349231125
-77.578125,1.807918359289185
-77.55859375,1.806561793608076
-77.5390625,1.805883510767522
-77.51953125,1.814701187694729
-77.5,1.812327197752788
-77.48046875,1.806561793608076
-77.4609375,1.803848662245859
-77.44140625,1.805544369347245
-77.421875,1.814362046274451
-77.40234375,1.812666339173066
-77.3828125,1.807579217868908
-77.36328125,1.803509520825582
-77.34375,1.803170379405304
-77.32421875,1.814362046274451
-77.3046875,1.817414319056946
-77.28515625,1.812327197752788
-77.265625,1.806561793608076
-77.24609375,1.804526945086413
-77.2265625,1.815040329115006
-77.20703125,1.81571861195556
-77.1875,1.807579217868908
-77.16796875,1.80249209656475
-77.1484375,1.80249209656475
