#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A7FC83
#Date Time: 2021-12-20 16:21:03.669
#Sample rate: 51.2Hz
#Samples: 2091
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-78.125,0.2712685840132895
-78.10546875,1.222560267890775
-78.0859375,1.232056227658536
-78.06640625,1.232056227658536
-78.046875,1.226629964934101
-78.02734375,1.224595116412438
-78.0078125,1.23036052055715
-77.98828125,1.229682237716596
-77.96875,1.231377944817982
-77.94921875,1.224595116412438
-77.9296875,1.233073651919367
-77.91015625,1.233412793339645
-77.890625,1.227647389194933
-77.87109375,1.235786783281585
-77.8515625,1.229682237716596
-77.83203125,1.22798653061521
-77.8125,1.229003954876041
-77.79296875,1.224595116412438
-77.7734375,1.235447641861308
-77.75390625,1.227647389194933
-77.734375,1.220525419369112
-77.71484375,1.228664813455764
-77.6953125,1.222899409311052
-77.67578125,1.230699661977427
-77.65625,1.233412793339645
-77.63671875,1.22798653061521
-77.6171875,1.231377944817982
-77.59765625,1.231717086238259
-77.578125,1.230699661977427
-77.55859375,1.225951682093547
-77.5390625,1.226969106354378
-77.51953125,1.231038803397704
-77.5,1.233073651919367
-77.48046875,1.229343096296319
-77.4609375,1.230021379136873
-77.44140625,1.226969106354378
-77.421875,1.230021379136873
-77.40234375,1.22188198505022
-77.3828125,1.228325672035487
-77.36328125,1.229682237716596
-77.34375,1.228325672035487
-77.32421875,1.230021379136873
-77.3046875,1.226629964934101
-77.28515625,1.226290823513824
-77.265625,1.217812288006894
-77.24609375,1.226290823513824
-77.2265625,1.230021379136873
-77.20703125,1.23036052055715
-77.1875,1.238499914643802
-77.16796875,1.229003954876041
-77.1484375,1.219847136528557
-77.12890625,1.226969106354378
-77.109375,1.228325672035487
-77.08984375,1.225951682093547
-77.0703125,1.224595116412438
-77.05078125,1.229682237716596
-77.03125,1.234769359020753
-77.01171875,1.228664813455764
-76.9921875,1.232395369078813
-76.97265625,1.233751934759922
-76.953125,1.227647389194933
-76.93359375,1.224934257832715
-76.9140625,1.228325672035487
-76.89453125,1.229003954876041
-76.875,1.233073651919367
-76.85546875,1.229682237716596
-76.8359375,1.219847136528557
-76.81640625,1.227308247774656
-76.796875,1.221203702209666
-76.77734375,1.231038803397704
-76.7578125,1.225951682093547
-76.73828125,1.229682237716596
-76.71875,1.23273451049909
-76.69921875,1.229003954876041
-76.6796875,1.23273451049909
-76.66015625,1.226290823513824
-76.640625,1.228664813455764
-76.62109375,1.238839056064079
-76.6015625,1.230021379136873
-76.58203125,1.231038803397704
-76.5625,1.230021379136873
-76.54296875,1.228664813455764
-76.5234375,1.225273399252992
-76.50390625,1.22798653061521
-76.484375,1.216794863746063
-76.46484375,1.223916833571884
-76.4453125,1.229682237716596
-76.42578125,1.23273451049909
-76.40625,1.226629964934101
-76.38671875,1.227647389194933
-76.3671875,1.222221126470498
-76.34765625,1.227647389194933
-76.328125,1.225951682093547
-76.30859375,1.23510850044103
-76.2890625,1.231377944817982
-76.26953125,1.229343096296319
-76.25,1.231038803397704
-76.23046875,1.219847136528557
-76.2109375,1.229343096296319
-76.19140625,1.220864560789389
-76.171875,1.22798653061521
-76.15234375,1.217812288006894
-76.1328125,1.224255974992161
-76.11328125,1.229343096296319
-76.09375,1.231717086238259
-76.07421875,1.21950799510828
-76.0546875,1.229343096296319
-76.03515625,1.231377944817982
-76.015625,1.222221126470498
-75.99609375,1.222899409311052
-75.9765625,1.229682237716596
-75.95703125,1.232056227658536
-75.9375,1.228664813455764
-75.91796875,1.229003954876041
-75.8984375,1.227308247774656
-75.87890625,1.224255974992161
-75.859375,1.218151429427172
-75.83984375,1.235786783281585
-75.8203125,1.229343096296319
-75.80078125,1.223238550731329
-75.78125,1.225273399252992
-75.76171875,1.218490570847449
-75.7421875,1.226629964934101
-75.72265625,1.228325672035487
-75.703125,1.231717086238259
-75.68359375,1.234430217600476
-75.6640625,1.225951682093547
-75.64453125,1.229343096296319
-75.625,1.231717086238259
-75.60546875,1.232395369078813
-75.5859375,1.226969106354378
-75.56640625,1.225273399252992
-75.546875,1.226290823513824
-75.52734375,1.227308247774656
-75.5078125,1.219168853688003
-75.48828125,1.229682237716596
-75.46875,1.230021379136873
-75.44921875,1.227647389194933
-75.4296875,1.22798653061521
-75.41015625,1.219847136528557
-75.390625,1.226629964934101
-75.37109375,1.231038803397704
-75.3515625,1.227308247774656
-75.33203125,1.223916833571884
-75.3125,1.227647389194933
-75.29296875,1.227308247774656
-75.2734375,1.224934257832715
-75.25390625,1.219168853688003
-75.234375,1.227647389194933
-75.21484375,1.224255974992161
-75.1953125,1.23036052055715
-75.17578125,1.239517338904634
-75.15625,1.22188198505022
-75.13671875,1.226969106354378
-75.1171875,1.226629964934101
-75.09765625,1.226969106354378
-75.078125,1.230021379136873
-75.05859375,1.226969106354378
-75.0390625,1.216455722325786
-75.01953125,1.226629964934101
-75,1.2147600152244
-74.98046875,1.233073651919367
-74.9609375,1.234769359020753
-74.94140625,1.229343096296319
-74.921875,1.232056227658536
-74.90234375,1.221542843629943
-74.8828125,1.216116580905509
-74.86328125,1.236125924701862
-74.84375,1.224255974992161
-74.82421875,1.220186277948835
-74.8046875,1.226629964934101
-74.78515625,1.226969106354378
-74.765625,1.225951682093547
-74.74609375,1.219847136528557
-74.7265625,1.228664813455764
-74.70703125,1.231717086238259
-74.6875,1.231038803397704
-74.66796875,1.230699661977427
-74.6484375,1.227308247774656
-74.62890625,1.22798653061521
-74.609375,1.220186277948835
-74.58984375,1.22561254067327
-74.5703125,1.225273399252992
-74.55078125,1.230021379136873
-74.53125,1.225951682093547
-74.51171875,1.22798653061521
-74.4921875,1.223577692151606
-74.47265625,1.232056227658536
-74.453125,1.228664813455764
-74.43359375,1.222560267890775
-74.4140625,1.218151429427172
-74.39453125,1.238499914643802
-74.375,1.231377944817982
-74.35546875,1.229003954876041
-74.3359375,1.229003954876041
-74.31640625,1.220864560789389
-74.296875,1.22561254067327
-74.27734375,1.222899409311052
-74.2578125,1.231038803397704
-74.23828125,1.23036052055715
-74.21875,1.227308247774656
-74.19921875,1.226629964934101
-74.1796875,1.225951682093547
-74.16015625,1.226969106354378
-74.140625,1.228664813455764
-74.12109375,1.224255974992161
-74.1015625,1.231377944817982
-74.08203125,1.223577692151606
-74.0625,1.226629964934101
-74.04296875,1.222899409311052
-74.0234375,1.231038803397704
-74.00390625,1.22798653061521
-73.984375,1.231377944817982
-73.96484375,1.224255974992161
-73.9453125,1.226290823513824
-73.92578125,1.222560267890775
-73.90625,1.229682237716596
-73.88671875,1.23036052055715
-73.8671875,1.227647389194933
-73.84765625,1.226969106354378
-73.828125,1.225273399252992
-73.80859375,1.226290823513824
-73.7890625,1.231038803397704
-73.76953125,1.224934257832715
-73.75,1.216116580905509
-73.73046875,1.226969106354378
-73.7109375,1.219168853688003
-73.69140625,1.226969106354378
-73.671875,1.229682237716596
-73.65234375,1.226290823513824
-73.6328125,1.23510850044103
-73.61328125,1.228664813455764
-73.59375,1.226629964934101
-73.57421875,1.231377944817982
-73.5546875,1.226629964934101
-73.53515625,1.22561254067327
-73.515625,1.230021379136873
-73.49609375,1.224934257832715
-73.4765625,1.223238550731329
-73.45703125,1.220525419369112
-73.4375,1.225273399252992
-73.41796875,1.230699661977427
-73.3984375,1.228325672035487
-73.37890625,1.229003954876041
-73.359375,1.230021379136873
-73.33984375,1.227308247774656
-73.3203125,1.220864560789389
-73.30078125,1.229682237716596
-73.28125,1.219168853688003
-73.26171875,1.228664813455764
-73.2421875,1.227308247774656
-73.22265625,1.226969106354378
-73.203125,1.224934257832715
-73.18359375,1.227647389194933
-73.1640625,1.23036052055715
-73.14453125,1.228664813455764
-73.125,1.225273399252992
-73.10546875,1.229343096296319
-73.0859375,1.225951682093547
-73.06640625,1.224595116412438
-73.046875,1.225273399252992
-73.02734375,1.225273399252992
-73.0078125,1.22798653061521
-72.98828125,1.223577692151606
-72.96875,1.218151429427172
-72.94921875,1.229343096296319
-72.9296875,1.227647389194933
-72.91015625,1.227308247774656
-72.890625,1.230021379136873
-72.87109375,1.229343096296319
-72.8515625,1.23510850044103
-72.83203125,1.232395369078813
-72.8125,1.226969106354378
-72.79296875,1.214420873804123
-72.7734375,1.223238550731329
-72.75390625,1.227647389194933
-72.734375,1.228664813455764
-72.71484375,1.226290823513824
-72.6953125,1.22561254067327
-72.67578125,1.224595116412438
-72.65625,1.222899409311052
-72.63671875,1.226969106354378
-72.6171875,1.231717086238259
-72.59765625,1.234091076180199
-72.578125,1.22561254067327
-72.55859375,1.229003954876041
-72.5390625,1.23273451049909
-72.51953125,1.223238550731329
-72.5,1.218829712267726
-72.48046875,1.235447641861308
-72.4609375,1.23273451049909
-72.44140625,1.219847136528557
-72.421875,1.229003954876041
-72.40234375,1.213064308123014
-72.3828125,1.22798653061521
-72.36328125,1.234091076180199
-72.34375,1.231377944817982
-72.32421875,1.230021379136873
-72.3046875,1.226969106354378
-72.28515625,1.219168853688003
-72.265625,1.228664813455764
-72.24609375,1.227647389194933
-72.2265625,1.231038803397704
-72.20703125,1.233412793339645
-72.1875,1.217812288006894
-72.16796875,1.223916833571884
-72.1484375,1.222899409311052
-72.12890625,1.229343096296319
-72.109375,1.229682237716596
-72.08984375,1.226969106354378
-72.0703125,1.232056227658536
-72.05078125,1.222560267890775
-72.03125,1.227308247774656
-72.01171875,1.229682237716596
-71.9921875,1.224934257832715
-71.97265625,1.228325672035487
-71.953125,1.229343096296319
-71.93359375,1.226969106354378
-71.9140625,1.230021379136873
-71.89453125,1.22188198505022
-71.875,1.230021379136873
-71.85546875,1.230021379136873
-71.8359375,1.227308247774656
-71.81640625,1.229682237716596
-71.796875,1.225951682093547
-71.77734375,1.227647389194933
-71.7578125,1.224595116412438
-71.73828125,1.231717086238259
-71.71875,1.228664813455764
-71.69921875,1.22798653061521
-71.6796875,1.221203702209666
-71.66015625,1.220186277948835
-71.640625,1.221203702209666
-71.62109375,1.226629964934101
-71.6015625,1.232056227658536
-71.58203125,1.231377944817982
-71.5625,1.225273399252992
-71.54296875,1.224255974992161
-71.5234375,1.232395369078813
-71.50390625,1.233412793339645
-71.484375,1.218151429427172
-71.46484375,1.222560267890775
-71.4453125,1.23510850044103
-71.42578125,1.22561254067327
-71.40625,1.226629964934101
-71.38671875,1.225951682093547
-71.3671875,1.221203702209666
-71.34765625,1.225273399252992
-71.328125,1.231377944817982
-71.30859375,1.226290823513824
-71.2890625,1.229003954876041
-71.26953125,1.231717086238259
-71.25,1.229343096296319
-71.23046875,1.223916833571884
-71.2109375,1.22798653061521
-71.19140625,1.230699661977427
-71.171875,1.224934257832715
-71.15234375,1.22188198505022
-71.1328125,1.227647389194933
-71.11328125,1.22798653061521
-71.09375,1.224934257832715
-71.07421875,1.229343096296319
-71.0546875,1.220186277948835
-71.03515625,1.22561254067327
-71.015625,1.227647389194933
-70.99609375,1.225951682093547
-70.9765625,1.215099156644677
-70.95703125,1.227647389194933
-70.9375,1.233412793339645
-70.91796875,1.224255974992161
-70.8984375,1.221542843629943
-70.87890625,1.223238550731329
-70.859375,1.225273399252992
-70.83984375,1.226969106354378
-70.8203125,1.231377944817982
-70.80078125,1.226969106354378
-70.78125,1.229682237716596
-70.76171875,1.22798653061521
-70.7421875,1.232395369078813
-70.72265625,1.233751934759922
-70.703125,1.219168853688003
-70.68359375,1.217473146586617
-70.6640625,1.233412793339645
-70.64453125,1.22561254067327
-70.625,1.218829712267726
-70.60546875,1.229682237716596
-70.5859375,1.228664813455764
-70.56640625,1.225951682093547
-70.546875,1.223238550731329
-70.52734375,1.224934257832715
-70.5078125,1.234430217600476
-70.48828125,1.231377944817982
-70.46875,1.230699661977427
-70.44921875,1.232395369078813
-70.4296875,1.224934257832715
-70.41015625,1.224934257832715
-70.390625,1.221542843629943
-70.37109375,1.22188198505022
-70.3515625,1.219847136528557
-70.33203125,1.22561254067327
-70.3125,1.224595116412438
-70.29296875,1.228664813455764
-70.2734375,1.227647389194933
-70.25390625,1.231038803397704
-70.234375,1.231717086238259
-70.21484375,1.213742590963568
-70.1953125,1.227647389194933
-70.17578125,1.230699661977427
-70.15625,1.22561254067327
-70.13671875,1.229682237716596
-70.1171875,1.231377944817982
-70.09765625,1.234430217600476
-70.078125,1.21950799510828
-70.05859375,1.222899409311052
-70.0390625,1.22798653061521
-70.01953125,1.232056227658536
-70,1.230021379136873
-69.98046875,1.234430217600476
-69.9609375,1.226629964934101
-69.94140625,1.227647389194933
-69.921875,1.226290823513824
-69.90234375,1.223916833571884
-69.8828125,1.223916833571884
-69.86328125,1.231038803397704
-69.84375,1.231377944817982
-69.82421875,1.221542843629943
-69.8046875,1.224255974992161
-69.78515625,1.231377944817982
-69.765625,1.230021379136873
-69.74609375,1.220525419369112
-69.7265625,1.227308247774656
-69.70703125,1.219847136528557
-69.6875,1.228664813455764
-69.66796875,1.234091076180199
-69.6484375,1.230699661977427
-69.62890625,1.229682237716596
-69.609375,1.223238550731329
-69.58984375,1.23036052055715
-69.5703125,1.234769359020753
-69.55078125,1.226969106354378
-69.53125,1.220864560789389
-69.51171875,1.226969106354378
-69.4921875,1.223916833571884
-69.47265625,1.222560267890775
-69.453125,1.217812288006894
-69.43359375,1.230021379136873
-69.4140625,1.231717086238259
-69.39453125,1.223916833571884
-69.375,1.226969106354378
-69.35546875,1.217473146586617
-69.3359375,1.226629964934101
-69.31640625,1.222899409311052
-69.296875,1.230021379136873
-69.27734375,1.213403449543291
-69.2578125,1.225273399252992
-69.23828125,1.23036052055715
-69.21875,1.233073651919367
-69.19921875,1.233412793339645
-69.1796875,1.228664813455764
-69.16015625,1.224255974992161
-69.140625,1.23273451049909
-69.12109375,1.229682237716596
-69.1015625,1.22798653061521
