wl,baseline,buffer,gfp,yfp,lysozyme
529.6,-0.00103,4.31E-11,0.00114,0.0584,0.02772
529.4,-0.00104,-0.00011,0.00111,0.05872,0.02777
529.2,-0.00088,-0.00025,0.00063,0.05899,0.02794
529,-0.00083,-0.00018,0.00057,0.05916,0.02791
528.8,-0.0009,-0.00011,0.00092,0.05933,0.02756
528.6,-0.00097,-0.0001,0.0011,0.05985,0.02771
528.4,-0.00101,-0.00021,0.00118,0.06041,0.02777
528.2,-0.00115,1.00E-05,0.00102,0.06071,0.02779
528,-0.00089,-0.00015,0.00071,0.0608,0.02765
527.8,-0.00081,-0.00036,0.00088,0.06124,0.02753
527.6,-0.00099,-0.00026,0.00106,0.06175,0.02766
527.4,-0.00102,-0.00015,0.00104,0.06206,0.02776
527.2,-0.00104,0.00011,0.00097,0.06261,0.02763
527,-0.00102,-2.00E-05,0.00111,0.063,0.02752
526.8,-0.00093,-7.00E-05,0.00109,0.06325,0.02765
526.6,-0.00089,-0.00019,0.00096,0.06373,0.0275
526.4,-0.00107,-0.00025,0.00113,0.06441,0.02768
526.2,-0.00111,-0.00011,0.00121,0.06504,0.0278
526,-0.00106,-0.00022,0.00115,0.06549,0.02763
525.8,-0.00113,-2.00E-05,0.00104,0.0658,0.02763
525.6,-0.00115,0.00013,0.00107,0.06633,0.0277
525.4,-0.00104,-0.00017,0.00127,0.06696,0.02761
525.2,-0.00092,-0.00046,0.00126,0.06741,0.02732
525,-0.00084,-0.0005,0.00117,0.06781,0.02717
524.8,-0.00103,-0.00031,0.00112,0.0685,0.02747
524.6,-0.00118,-0.00026,0.00105,0.06911,0.02765
524.4,-0.0011,-0.00022,0.00122,0.06966,0.02746
524.2,-0.00111,-0.00021,0.00137,0.07043,0.02749
524,-0.00108,-0.00034,0.00111,0.07112,0.02748
523.8,-0.00099,-0.00045,0.00085,0.07166,0.02731
523.6,-0.00112,-0.00025,0.00116,0.07232,0.02742
523.4,-0.00129,-0.0001,0.00144,0.07322,0.02767
523.2,-0.00105,-0.00022,0.00118,0.07366,0.02743
523,-0.00088,-0.00021,0.00098,0.07418,0.02702
522.8,-0.00112,-0.00014,0.00126,0.07505,0.02728
522.6,-0.00112,-0.00025,0.00139,0.07572,0.02727
522.4,-0.00107,-0.00028,0.00137,0.07631,0.02709
522.2,-0.00105,-0.00034,0.00134,0.07695,0.02716
522,-0.00114,-0.00025,0.00148,0.07811,0.02723
521.8,-0.0013,-8.00E-05,0.00151,0.07901,0.02727
521.6,-0.00124,-0.00016,0.00149,0.07963,0.02731
521.4,-0.0014,1.00E-04,0.00176,0.08052,0.02763
521.2,-0.00128,-0.0001,0.00171,0.08122,0.02742
521,-0.00086,-0.00055,0.00132,0.08173,0.02696
520.8,-0.00099,-0.00041,0.00132,0.08247,0.0269
520.6,-0.00133,-0.00011,0.00165,0.08366,0.02711
520.4,-0.00129,-0.00014,0.00169,0.08446,0.02735
520.2,-0.00116,-0.00019,0.00156,0.08515,0.02728
520,-0.00139,-0.0001,0.00182,0.08534,0.02676
519.8,-0.00146,-0.00019,0.00205,0.08623,0.02661
519.6,-0.00144,-0.00012,0.00188,0.0871,0.0265
519.4,-0.00144,-0.00013,0.00178,0.08796,0.02672
519.2,-0.00155,-1.00E-05,0.00195,0.08874,0.02697
519,-0.00152,-5.00E-05,0.00205,0.08964,0.02683
518.8,-0.00136,-0.00026,0.00188,0.09048,0.0265
518.6,-0.00136,-0.00017,0.00182,0.0913,0.02645
518.4,-0.00134,-0.00022,0.0019,0.09205,0.02629
518.2,-0.00136,-0.0002,0.00197,0.09293,0.02632
518,-0.0015,0.00026,0.00212,0.09399,0.0268
517.8,-0.00151,0.0001,0.00227,0.09476,0.02686
517.6,-0.00144,-0.00027,0.00228,0.09543,0.02648
517.4,-0.00147,-3.00E-05,0.00234,0.09622,0.02647
517.2,-0.00144,3.00E-05,0.00239,0.0971,0.02657
517,-0.00143,-0.00014,0.00246,0.09784,0.02661
516.8,-0.00159,-4.00E-05,0.00271,0.09872,0.02675
516.6,-0.00159,1.00E-05,0.0028,0.09976,0.02661
516.4,-0.00134,-0.00026,0.00254,0.10043,0.02619
516.2,-0.00139,-0.00026,0.00272,0.10114,0.02641
516,-0.00167,1.00E-05,0.00308,0.10225,0.02676
515.8,-0.00153,-0.00011,0.00284,0.10276,0.02652
515.6,-0.00152,-3.00E-05,0.00285,0.10333,0.02666
515.4,-0.00166,0.00012,0.00319,0.10433,0.0267
515.2,-0.00145,-0.00026,0.00314,0.10481,0.02634
515,-0.00155,-0.00015,0.00327,0.1055,0.02658
514.8,-0.00179,9.00E-05,0.00361,0.10637,0.0268
514.6,-0.00147,-0.00041,0.0035,0.10665,0.02649
514.4,-0.00149,-0.00027,0.00361,0.10723,0.02634
514.2,-0.00174,8.00E-05,0.00394,0.10813,0.02639
